Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date
Horticulture,Lettuce,Bag,51,3932.0,12/1/2012 0:00
Horticulture,Passion Fruits,Bag,57,3548.0,12/1/2012 0:00
Horticulture,Oranges,Bag,93,2877.0,12/1/2012 0:00
Horticulture,Lemons,Bag,95,1911.0,12/1/2012 0:00
Horticulture,Mangoes Local,Bag,126,2124.0,12/1/2012 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,912.0,12/1/2012 0:00
Horticulture,Limes,net,13,728.0,12/1/2012 0:00
Horticulture,Pineapples,Dozen,13,727.0,12/1/2012 0:00
Horticulture,Pawpaw,Lg Box,54,1611.0,12/1/2012 0:00
Horticulture,Avocado,Bag,90,2255.0,12/1/2012 0:00
Horticulture,Kales,Bag,50,690.0,12/1/2012 0:00
Horticulture,Cabbages,Ext Bag,126,1466.0,1/1/2013 0:00
Horticulture,Kales,Bag,50,685.0,1/1/2013 0:00
Horticulture,Avocado,Bag,90,1981.0,1/1/2013 0:00
Horticulture,Pawpaw,Lg Box,54,1479.0,1/1/2013 0:00
Horticulture,Pineapples,Dozen,13,897.0,1/1/2013 0:00
Horticulture,Limes,net,13,582.0,1/1/2013 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,827.0,1/1/2013 0:00
Horticulture,Mangoes Local,Bag,126,1833.0,1/1/2013 0:00
Horticulture,Lemons,Bag,95,1875.0,1/1/2013 0:00
Horticulture,Oranges,Bag,93,2938.0,1/1/2013 0:00
Horticulture,Passion Fruits,Bag,57,3180.0,1/1/2013 0:00
Horticulture,Lettuce,Bag,51,4047.0,1/1/2013 0:00
Horticulture,Cauliflower,crate,39,2098.0,1/1/2013 0:00
Horticulture,Brinjals,Bag,44,1547.0,1/1/2013 0:00
Horticulture,Capsicums,Bag,50,2099.0,1/1/2013 0:00
Horticulture,Cucumber,Bag,50,1697.0,1/1/2013 0:00
Horticulture,Chillies,Bag,38,2403.0,1/1/2013 0:00
Horticulture,Spring Onions,Bag,142,1785.0,1/1/2013 0:00
Horticulture,Onions Dry,net,13,797.0,1/1/2013 0:00
Horticulture,Tomatoes,Lg Box,64,2831.0,1/1/2013 0:00
Horticulture,Carrots,Ext Bag,138,2538.0,1/1/2013 0:00
Horticulture,Ripe Bananas,Med Bunch,14,609.0,1/1/2013 0:00
Horticulture,Cooking Bananas,Med Bunch,22,586.0,1/1/2013 0:00
Horticulture,Cooking Bananas,Med Bunch,22,629.0,2/1/2013 0:00
Horticulture,Kales,Bag,50,804.0,2/1/2013 0:00
Horticulture,Avocado,Bag,90,2394.0,2/1/2013 0:00
Horticulture,Pawpaw,Lg Box,54,1472.0,2/1/2013 0:00
Horticulture,Pineapples,Dozen,13,750.0,2/1/2013 0:00
Horticulture,Limes,net,13,710.0,2/1/2013 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,927.0,2/1/2013 0:00
Horticulture,Mangoes Local,Bag,126,1957.0,2/1/2013 0:00
Horticulture,Lemons,Bag,95,2051.0,2/1/2013 0:00
Horticulture,Oranges,Bag,93,3230.0,2/1/2013 0:00
Horticulture,Passion Fruits,Bag,57,2955.0,2/1/2013 0:00
Horticulture,Lettuce,Bag,51,3476.0,2/1/2013 0:00
Horticulture,Cauliflower,crate,39,2483.0,2/1/2013 0:00
Horticulture,Brinjals,Bag,44,1836.0,2/1/2013 0:00
Horticulture,Capsicums,Bag,50,2517.0,2/1/2013 0:00
Horticulture,Cucumber,Bag,50,2251.0,2/1/2013 0:00
Horticulture,Chillies,Bag,38,2989.0,2/1/2013 0:00
Horticulture,Spring Onions,Bag,142,2254.0,2/1/2013 0:00
Horticulture,Onions Dry,net,13,792.0,2/1/2013 0:00
Horticulture,Tomatoes,Lg Box,64,2969.0,2/1/2013 0:00
Horticulture,Carrots,Ext Bag,138,2669.0,2/1/2013 0:00
Horticulture,Ripe Bananas,Med Bunch,14,708.0,2/1/2013 0:00
Horticulture,Cabbages,Ext Bag,126,1798.0,2/1/2013 0:00
Horticulture,Cabbages,Ext Bag,126,1667.0,3/1/2013 0:00
Horticulture,Cooking Bananas,Med Bunch,22,539.0,3/1/2013 0:00
Horticulture,Ripe Bananas,Med Bunch,14,607.0,3/1/2013 0:00
Horticulture,Carrots,Ext Bag,138,2969.0,3/1/2013 0:00
Horticulture,Tomatoes,Lg Box,64,3669.0,3/1/2013 0:00
Horticulture,Onions Dry,net,13,883.0,3/1/2013 0:00
Horticulture,Spring Onions,Bag,142,2159.0,3/1/2013 0:00
Horticulture,Chillies,Bag,38,2377.0,3/1/2013 0:00
Horticulture,Cucumber,Bag,50,2742.0,3/1/2013 0:00
Horticulture,Capsicums,Bag,50,2750.0,3/1/2013 0:00
Horticulture,Brinjals,Bag,44,1587.0,3/1/2013 0:00
Horticulture,Cauliflower,crate,39,2452.0,3/1/2013 0:00
Horticulture,Lettuce,Bag,51,3470.0,3/1/2013 0:00
Horticulture,Passion Fruits,Bag,57,3988.0,3/1/2013 0:00
Horticulture,Oranges,Bag,93,3053.0,3/1/2013 0:00
Horticulture,Lemons,Bag,95,2039.0,3/1/2013 0:00
Horticulture,Mangoes Local,Bag,126,2105.0,3/1/2013 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,1149.0,3/1/2013 0:00
Horticulture,Limes,net,13,679.0,3/1/2013 0:00
Horticulture,Pineapples,Dozen,13,728.0,3/1/2013 0:00
Horticulture,Pawpaw,Lg Box,54,1521.0,3/1/2013 0:00
Horticulture,Avocado,Bag,90,2322.0,3/1/2013 0:00
Horticulture,Kales,Bag,50,1039.0,3/1/2013 0:00
Horticulture,Cabbages,Ext Bag,126,1638.0,4/1/2013 0:00
Horticulture,Cooking Bananas,Med Bunch,22,545.0,4/1/2013 0:00
Horticulture,Ripe Bananas,Med Bunch,14,620.0,4/1/2013 0:00
Horticulture,Carrots,Ext Bag,138,3223.0,4/1/2013 0:00
Horticulture,Tomatoes,Lg Box,64,5182.0,4/1/2013 0:00
Horticulture,Onions Dry,net,13,850.0,4/1/2013 0:00
Horticulture,Spring Onions,Bag,142,2194.0,4/1/2013 0:00
Horticulture,Chillies,Bag,38,3064.0,4/1/2013 0:00
Horticulture,Cucumber,Bag,50,2405.0,4/1/2013 0:00
Horticulture,Capsicums,Bag,50,2930.0,4/1/2013 0:00
Horticulture,Brinjals,Bag,44,1664.0,4/1/2013 0:00
Horticulture,Cauliflower,crate,39,3781.0,4/1/2013 0:00
Horticulture,Lettuce,Bag,51,3202.0,4/1/2013 0:00
Horticulture,Passion Fruits,Bag,57,3725.0,4/1/2013 0:00
Horticulture,Oranges,Bag,93,2948.0,4/1/2013 0:00
Horticulture,Lemons,Bag,95,1960.0,4/1/2013 0:00
Horticulture,Mangoes Local,Bag,126,2444.0,4/1/2013 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,770.0,4/1/2013 0:00
Horticulture,Limes,net,13,635.0,4/1/2013 0:00
Horticulture,Pineapples,Dozen,13,780.0,4/1/2013 0:00
Horticulture,Pawpaw,Lg Box,54,1473.0,4/1/2013 0:00
Horticulture,Avocado,Bag,90,2287.0,4/1/2013 0:00
