Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date,OBJECTID
Horticulture,Passion Fruits,Bag,57,3291.0,8/1/2012 0:00,174
Horticulture,Oranges,Bag,93,2736.0,8/1/2012 0:00,175
Horticulture,Lemons,Bag,95,1749.0,8/1/2012 0:00,176
Horticulture,Mangoes Local,Bag,126,1791.0,8/1/2012 0:00,177
Horticulture,Mangoes Ngowe,Sm Basket,25,1013.0,8/1/2012 0:00,178
Horticulture,Limes,net,13,817.0,8/1/2012 0:00,179
Horticulture,Pineapples,Dozen,13,698.0,8/1/2012 0:00,180
Horticulture,Pawpaw,Lg Box,54,1388.0,8/1/2012 0:00,181
Horticulture,Avocado,Bag,90,1634.0,8/1/2012 0:00,182
Horticulture,Kales,Bag,50,682.0,8/1/2012 0:00,183
Horticulture,Cabbages,Ext Bag,126,1792.0,9/1/2012 0:00,184
Horticulture,Cooking Bananas,Med Bunch,22,571.0,9/1/2012 0:00,185
Horticulture,Ripe Bananas,Med Bunch,14,573.0,9/1/2012 0:00,186
Horticulture,Carrots,Ext Bag,138,3261.0,9/1/2012 0:00,187
Horticulture,Tomatoes,Lg Box,64,2602.0,9/1/2012 0:00,188
Horticulture,Onions Dry,net,13,1018.0,9/1/2012 0:00,189
Horticulture,Spring Onions,Bag,142,2097.0,9/1/2012 0:00,190
Horticulture,Chillies,Bag,38,3783.0,9/1/2012 0:00,191
Horticulture,Cucumber,Bag,50,1735.0,9/1/2012 0:00,192
Horticulture,Capsicums,Bag,50,2674.0,9/1/2012 0:00,193
Horticulture,Brinjals,Bag,44,1474.0,9/1/2012 0:00,194
Horticulture,Cauliflower,crate,39,2087.0,9/1/2012 0:00,195
Horticulture,Lettuce,Bag,51,4983.0,9/1/2012 0:00,196
Horticulture,Passion Fruits,Bag,57,3536.0,9/1/2012 0:00,197
Horticulture,Oranges,Bag,93,3163.0,9/1/2012 0:00,198
Horticulture,Lemons,Bag,95,1374.0,9/1/2012 0:00,199
Horticulture,Mangoes Local,Bag,126,2013.0,9/1/2012 0:00,200
Horticulture,Mangoes Ngowe,Sm Basket,25,932.0,9/1/2012 0:00,201
Horticulture,Limes,net,13,626.0,9/1/2012 0:00,202
Horticulture,Pineapples,Dozen,13,935.0,9/1/2012 0:00,203
Horticulture,Pawpaw,Lg Box,54,1715.0,9/1/2012 0:00,204
Horticulture,Avocado,Bag,90,1975.0,9/1/2012 0:00,205
Horticulture,Kales,Bag,50,764.0,9/1/2012 0:00,206
Horticulture,Cabbages,Ext Bag,126,1643.0,10/1/2012 0:00,207
Horticulture,Cooking Bananas,Med Bunch,22,626.0,10/1/2012 0:00,208
Horticulture,Ripe Bananas,Med Bunch,14,636.0,10/1/2012 0:00,209
Horticulture,Carrots,Ext Bag,138,2778.0,10/1/2012 0:00,210
Horticulture,Tomatoes,Lg Box,64,2576.0,10/1/2012 0:00,211
Horticulture,Onions Dry,net,13,819.0,10/1/2012 0:00,212
Horticulture,Spring Onions,Bag,142,1852.0,10/1/2012 0:00,213
Horticulture,Chillies,Bag,38,2592.0,10/1/2012 0:00,214
Horticulture,Cucumber,Bag,50,2020.0,10/1/2012 0:00,215
Horticulture,Capsicums,Bag,50,2439.0,10/1/2012 0:00,216
Horticulture,Brinjals,Bag,44,1386.0,10/1/2012 0:00,217
Horticulture,Cauliflower,crate,39,1883.0,10/1/2012 0:00,218
Horticulture,Lettuce,Bag,51,4944.0,10/1/2012 0:00,219
Horticulture,Passion Fruits,Bag,57,3429.0,10/1/2012 0:00,220
Horticulture,Oranges,Bag,93,3003.0,10/1/2012 0:00,221
Horticulture,Lemons,Bag,95,1455.0,10/1/2012 0:00,222
Horticulture,Mangoes Local,Bag,126,1862.0,10/1/2012 0:00,223
Horticulture,Mangoes Ngowe,Sm Basket,25,1174.0,10/1/2012 0:00,224
Horticulture,Limes,net,13,680.0,10/1/2012 0:00,225
Horticulture,Pineapples,Dozen,13,841.0,10/1/2012 0:00,226
Horticulture,Pawpaw,Lg Box,54,1431.0,10/1/2012 0:00,227
Horticulture,Avocado,Bag,90,1860.0,10/1/2012 0:00,228
Horticulture,Kales,Bag,50,749.0,10/1/2012 0:00,229
Horticulture,Cabbages,Ext Bag,126,1410.0,11/1/2012 0:00,230
Horticulture,Cooking Bananas,Med Bunch,22,548.0,11/1/2012 0:00,231
Horticulture,Ripe Bananas,Med Bunch,14,593.0,11/1/2012 0:00,232
Horticulture,Carrots,Ext Bag,138,2515.0,11/1/2012 0:00,233
Horticulture,Tomatoes,Lg Box,64,3392.0,11/1/2012 0:00,234
Horticulture,Onions Dry,net,13,907.0,11/1/2012 0:00,235
Horticulture,Spring Onions,Bag,142,2015.0,11/1/2012 0:00,236
Horticulture,Chillies,Bag,38,2387.0,11/1/2012 0:00,237
