Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date,OBJECTID
Horticulture,Lemons,Bag,95,KES1911.00,12/1/2012 0:00,268
Horticulture,Mangoes Local,Bag,126,KES2124.00,12/1/2012 0:00,269
Horticulture,Mangoes Ngowe,Sm Basket,25,KES912.00,12/1/2012 0:00,270
Horticulture,Limes,net,13,KES728.00,12/1/2012 0:00,271
Horticulture,Pineapples,Dozen,13,KES727.00,12/1/2012 0:00,272
Horticulture,Pawpaw,Lg Box,54,KES1611.00,12/1/2012 0:00,273
Horticulture,Avocado,Bag,90,KES2255.00,12/1/2012 0:00,274
Horticulture,Kales,Bag,50,KES690.00,12/1/2012 0:00,275
Horticulture,Cabbages,Ext Bag,126,KES1466.00,1/1/2013 0:00,276
Horticulture,Kales,Bag,50,KES685.00,1/1/2013 0:00,277
Horticulture,Avocado,Bag,90,KES1981.00,1/1/2013 0:00,278
Horticulture,Pawpaw,Lg Box,54,KES1479.00,1/1/2013 0:00,279
Horticulture,Pineapples,Dozen,13,KES897.00,1/1/2013 0:00,280
Horticulture,Limes,net,13,KES582.00,1/1/2013 0:00,281
Horticulture,Mangoes Ngowe,Sm Basket,25,KES827.00,1/1/2013 0:00,282
Horticulture,Mangoes Local,Bag,126,KES1833.00,1/1/2013 0:00,283
Horticulture,Lemons,Bag,95,KES1875.00,1/1/2013 0:00,284
Horticulture,Oranges,Bag,93,KES2938.00,1/1/2013 0:00,285
Horticulture,Passion Fruits,Bag,57,KES3180.00,1/1/2013 0:00,286
Horticulture,Lettuce,Bag,51,KES4047.00,1/1/2013 0:00,287
Horticulture,Cauliflower,crate,39,KES2098.00,1/1/2013 0:00,288
Horticulture,Brinjals,Bag,44,KES1547.00,1/1/2013 0:00,289
Horticulture,Capsicums,Bag,50,KES2099.00,1/1/2013 0:00,290
Horticulture,Cucumber,Bag,50,KES1697.00,1/1/2013 0:00,291
Horticulture,Chillies,Bag,38,KES2403.00,1/1/2013 0:00,292
Horticulture,Spring Onions,Bag,142,KES1785.00,1/1/2013 0:00,293
Horticulture,Onions Dry,net,13,KES797.00,1/1/2013 0:00,294
Horticulture,Tomatoes,Lg Box,64,KES2831.00,1/1/2013 0:00,295
Horticulture,Carrots,Ext Bag,138,KES2538.00,1/1/2013 0:00,296
Horticulture,Ripe Bananas,Med Bunch,14,KES609.00,1/1/2013 0:00,297
Horticulture,Cooking Bananas,Med Bunch,22,KES586.00,1/1/2013 0:00,298
Horticulture,Cooking Bananas,Med Bunch,22,KES629.00,2/1/2013 0:00,299
Horticulture,Kales,Bag,50,KES804.00,2/1/2013 0:00,300
Horticulture,Avocado,Bag,90,KES2394.00,2/1/2013 0:00,301
Horticulture,Pawpaw,Lg Box,54,KES1472.00,2/1/2013 0:00,302
Horticulture,Pineapples,Dozen,13,KES750.00,2/1/2013 0:00,303
Horticulture,Limes,net,13,KES710.00,2/1/2013 0:00,304
Horticulture,Mangoes Ngowe,Sm Basket,25,KES927.00,2/1/2013 0:00,305
Horticulture,Mangoes Local,Bag,126,KES1957.00,2/1/2013 0:00,306
Horticulture,Lemons,Bag,95,KES2051.00,2/1/2013 0:00,307
Horticulture,Oranges,Bag,93,KES3230.00,2/1/2013 0:00,308
Horticulture,Passion Fruits,Bag,57,KES2955.00,2/1/2013 0:00,309
Horticulture,Lettuce,Bag,51,KES3476.00,2/1/2013 0:00,310
Horticulture,Cauliflower,crate,39,KES2483.00,2/1/2013 0:00,311
Horticulture,Brinjals,Bag,44,KES1836.00,2/1/2013 0:00,312
Horticulture,Capsicums,Bag,50,KES2517.00,2/1/2013 0:00,313
Horticulture,Cucumber,Bag,50,KES2251.00,2/1/2013 0:00,314
Horticulture,Chillies,Bag,38,KES2989.00,2/1/2013 0:00,315
Horticulture,Spring Onions,Bag,142,KES2254.00,2/1/2013 0:00,316
Horticulture,Onions Dry,net,13,KES792.00,2/1/2013 0:00,317
Horticulture,Tomatoes,Lg Box,64,KES2969.00,2/1/2013 0:00,318
Horticulture,Carrots,Ext Bag,138,KES2669.00,2/1/2013 0:00,319
Horticulture,Ripe Bananas,Med Bunch,14,KES708.00,2/1/2013 0:00,320
Horticulture,Cabbages,Ext Bag,126,KES1798.00,2/1/2013 0:00,321
Horticulture,Cabbages,Ext Bag,126,KES1667.00,3/1/2013 0:00,322
Horticulture,Cooking Bananas,Med Bunch,22,KES539.00,3/1/2013 0:00,323
Horticulture,Ripe Bananas,Med Bunch,14,KES607.00,3/1/2013 0:00,324
Horticulture,Carrots,Ext Bag,138,KES2969.00,3/1/2013 0:00,325
Horticulture,Tomatoes,Lg Box,64,KES3669.00,3/1/2013 0:00,326
Horticulture,Onions Dry,net,13,KES883.00,3/1/2013 0:00,327
Horticulture,Spring Onions,Bag,142,KES2159.00,3/1/2013 0:00,328
Horticulture,Chillies,Bag,38,KES2377.00,3/1/2013 0:00,329
Horticulture,Cucumber,Bag,50,KES2742.00,3/1/2013 0:00,330
Horticulture,Capsicums,Bag,50,KES2750.00,3/1/2013 0:00,331
Horticulture,Brinjals,Bag,44,KES1587.00,3/1/2013 0:00,332
Horticulture,Cauliflower,crate,39,KES2452.00,3/1/2013 0:00,333
Horticulture,Lettuce,Bag,51,KES3470.00,3/1/2013 0:00,334
Horticulture,Passion Fruits,Bag,57,KES3988.00,3/1/2013 0:00,335
Horticulture,Oranges,Bag,93,KES3053.00,3/1/2013 0:00,336
Horticulture,Lemons,Bag,95,KES2039.00,3/1/2013 0:00,337
Horticulture,Mangoes Local,Bag,126,KES2105.00,3/1/2013 0:00,338
Horticulture,Mangoes Ngowe,Sm Basket,25,KES1149.00,3/1/2013 0:00,339
Horticulture,Limes,net,13,KES679.00,3/1/2013 0:00,340
Horticulture,Pineapples,Dozen,13,KES728.00,3/1/2013 0:00,341
Horticulture,Pawpaw,Lg Box,54,KES1521.00,3/1/2013 0:00,342
Horticulture,Avocado,Bag,90,KES2322.00,3/1/2013 0:00,343
Horticulture,Kales,Bag,50,KES1039.00,3/1/2013 0:00,344
Horticulture,Cabbages,Ext Bag,126,KES1638.00,4/1/2013 0:00,345
Horticulture,Cooking Bananas,Med Bunch,22,KES545.00,4/1/2013 0:00,346
Horticulture,Ripe Bananas,Med Bunch,14,KES620.00,4/1/2013 0:00,347
Horticulture,Carrots,Ext Bag,138,KES3223.00,4/1/2013 0:00,348
Horticulture,Tomatoes,Lg Box,64,KES5182.00,4/1/2013 0:00,349
Horticulture,Onions Dry,net,13,KES850.00,4/1/2013 0:00,350
Horticulture,Spring Onions,Bag,142,KES2194.00,4/1/2013 0:00,351
Horticulture,Chillies,Bag,38,KES3064.00,4/1/2013 0:00,352
Horticulture,Cucumber,Bag,50,KES2405.00,4/1/2013 0:00,353
