Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date,OBJECTID
Horticulture,Tomatoes,Lg Box,64,2576.0,8/1/2012 ,165
Horticulture,Onions Dry,net,13,887.0,8/1/2012 ,166
Horticulture,Spring Onions,Bag,142,1975.0,8/1/2012 ,167
Horticulture,Chillies,Bag,38,2652.0,8/1/2012 ,168
Horticulture,Cucumber,Bag,50,1572.0,8/1/2012 ,169
Horticulture,Capsicums,Bag,50,2769.0,8/1/2012 ,170
Horticulture,Brinjals,Bag,44,1544.0,8/1/2012 ,171
Horticulture,Cauliflower,crate,39,2408.0,8/1/2012 ,172
Horticulture,Lettuce,Bag,51,4246.0,8/1/2012 ,173
Horticulture,Passion Fruits,Bag,57,3291.0,8/1/2012 ,174
Horticulture,Oranges,Bag,93,2736.0,8/1/2012 ,175
Horticulture,Lemons,Bag,95,1749.0,8/1/2012 ,176
Horticulture,Mangoes Local,Bag,126,1791.0,8/1/2012 ,177
Horticulture,Mangoes Ngowe,Sm Basket,25,1013.0,8/1/2012 ,178
Horticulture,Limes,net,13,817.0,8/1/2012 ,179
Horticulture,Pineapples,Dozen,13,698.0,8/1/2012 ,180
Horticulture,Pawpaw,Lg Box,54,1388.0,8/1/2012 ,181
Horticulture,Avocado,Bag,90,1634.0,8/1/2012 ,182
Horticulture,Kales,Bag,50,682.0,8/1/2012 ,183
Horticulture,Cabbages,Ext Bag,126,1792.0,9/1/2012 ,184
Horticulture,Cooking Bananas,Med Bunch,22,571.0,9/1/2012 ,185
Horticulture,Ripe Bananas,Med Bunch,14,573.0,9/1/2012 ,186
Horticulture,Carrots,Ext Bag,138,3261.0,9/1/2012 ,187
Horticulture,Tomatoes,Lg Box,64,2602.0,9/1/2012 ,188
Horticulture,Onions Dry,net,13,1018.0,9/1/2012 ,189
Horticulture,Spring Onions,Bag,142,2097.0,9/1/2012 ,190
Horticulture,Chillies,Bag,38,3783.0,9/1/2012 ,191
Horticulture,Cucumber,Bag,50,1735.0,9/1/2012 ,192
Horticulture,Capsicums,Bag,50,2674.0,9/1/2012 ,193
Horticulture,Brinjals,Bag,44,1474.0,9/1/2012 ,194
